;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
616;Flirting;Flirting;1991;99;Drama,Romance;7.2;5993.0;TRUE;nm0852965;Noah Taylor;1969;nm0628601;Thandiwe Newton;1972;19;22;3;(20.0, 25.0];(16.0, 20.0]
614;He Said, She Said;He Said, She Said;1991;115;Comedy,Drama,Romance;5.7;6893.0;TRUE;nm0000102;Kevin Bacon;1958;nm0001610;Elizabeth Perkins;1960;31;33;2;(30.0, 35.0];(30.0, 35.0]
604;The Prince of Tides;The Prince of Tides;1991;132;Drama,Romance;6.8;17715.0;TRUE;nm0000560;Nick Nolte;1941;nm0000659;Barbra Streisand;1942;49;50;1;(45.0, 50.0];(45.0, 50.0]
619;Father of the Bride;Father of the Bride;1991;105;Comedy,Family,Romance;6.5;73732.0;TRUE;nm0000188;Steve Martin;1945;nm0000473;Diane Keaton;1946;45;46;1;(45.0, 50.0];(40.0, 45.0]
608;Soapdish;Soapdish;1991;97;Comedy,Romance;6.6;15807.0;TRUE;nm0000177;Kevin Kline;1947;nm0000398;Sally Field;1946;45;44;-1;(40.0, 45.0];(40.0, 45.0]
605;Jungle Fever;Jungle Fever;1991;132;Drama,Romance;6.6;18143.0;TRUE;nm0000648;Wesley Snipes;1962;nm0001711;Annabella Sciorra;1960;31;29;-2;(25.0, 30.0];(30.0, 35.0]
612;Dogfight;Dogfight;1991;94;Comedy,Drama,Romance;7.4;9072.0;TRUE;nm0000203;River Phoenix;1970;nm0000666;Lili Taylor;1967;24;21;-3;(20.0, 25.0];(20.0, 25.0]
615;Proof;Proof;1991;86;Drama,Romance;7.2;6596.0;TRUE;nm0915989;Hugo Weaving;1960;nm0682021;Geneviève Picot;1956;35;31;-4;(30.0, 35.0];(30.0, 35.0]
610;Only the Lonely;Only the Lonely;1991;104;Comedy,Romance;6.4;11067.0;TRUE;nm0001006;John Candy;1950;nm0000058;Ally Sheedy;1962;71;41;-30;(40.0, 45.0];(65.0, 81.0]
635;Ju Dou;Ju Dou;1990;95;Drama,Romance;7.7;8190.0;TRUE;nm0508536;Wei Li;1919;nm0000084;Gong Li;1965;25;71;46;(65.0, 81.0];(20.0, 25.0]
629;The Russia House;The Russia House;1990;123;Drama,Romance,Thriller;6.1;15819.0;TRUE;nm0000125;Sean Connery;1930;nm0000201;Michelle Pfeiffer;1958;32;60;28;(55.0, 60.0];(30.0, 35.0]
636;Havana;Havana;1990;144;Drama,Romance,War;6.1;7861.0;TRUE;nm0000602;Robert Redford;1936;nm0000565;Lena Olin;1955;35;54;19;(50.0, 55.0];(30.0, 35.0]
623;Pretty Woman;Pretty Woman;1990;119;Comedy,Romance;7.1;310208.0;TRUE;nm0000152;Richard Gere;1949;nm0000210;Julia Roberts;1967;23;41;18;(40.0, 45.0];(20.0, 25.0]
638;The Hot Spot;The Hot Spot;1990;130;Crime,Drama,Romance;6.4;11605.0;TRUE;nm0000467;Don Johnson;1949;nm0000515;Virginia Madsen;1961;29;41;12;(40.0, 45.0];(25.0, 30.0]
624;Ghost;Ghost;1990;127;Drama,Fantasy,Romance;7.1;209608.0;TRUE;nm0000664;Patrick Swayze;1952;nm0000193;Demi Moore;1962;28;38;10;(35.0, 40.0];(25.0, 30.0]
628;Green Card;Green Card;1990;107;Comedy,Drama,Romance;6.2;23969.0;TRUE;nm0000367;Gérard Depardieu;1948;nm0000510;Andie MacDowell;1958;32;42;10;(40.0, 45.0];(30.0, 35.0]
622;Edward Scissorhands;Edward Scissorhands;1990;105;Drama,Fantasy,Romance;7.9;470444.0;TRUE;nm0000136;Johnny Depp;1963;nm0000213;Winona Ryder;1971;19;27;8;(25.0, 30.0];(16.0, 20.0]
626;Joe Versus the Volcano;Joe Versus the Volcano;1990;102;Comedy,Romance;5.9;36367.0;TRUE;nm0000158;Tom Hanks;1956;nm0000212;Meg Ryan;1961;29;34;5;(30.0, 35.0];(25.0, 30.0]
630;Mermaids;Mermaids;1990;110;Comedy,Drama,Romance;6.7;30744.0;TRUE;nm0001364;Bob Hoskins;1942;nm0000333;Cher;1946;44;48;4;(45.0, 50.0];(40.0, 45.0]
632;The Handmaid's Tale;The Handmaid's Tale;1990;109;Drama,Romance,Sci-Fi;6.0;9564.0;TRUE;nm0001644;Aidan Quinn;1959;nm0001670;Natasha Richardson;1963;27;31;4;(30.0, 35.0];(25.0, 30.0]
639;Mr. Destiny;Mr. Destiny;1990;110;Comedy,Fantasy,Romance;6.4;12263.0;TRUE;nm0000902;Jim Belushi;1954;nm0000157;Linda Hamilton;1956;34;36;2;(35.0, 40.0];(30.0, 35.0]
627;The Bonfire of the Vanities;The Bonfire of the Vanities;1990;125;Comedy,Drama,Romance;5.6;24587.0;TRUE;nm0000158;Tom Hanks;1956;nm0000429;Melanie Griffith;1957;33;34;1;(30.0, 35.0];(30.0, 35.0]
625;Look Who's Talking Too;Look Who's Talking Too;1990;81;Comedy,Family,Romance;4.7;46104.0;TRUE;nm0000237;John Travolta;1954;nm0000263;Kirstie Alley;1951;39;36;-3;(35.0, 40.0];(35.0, 40.0]
631;Alice;Alice;1990;106;Comedy,Romance;6.6;14130.0;TRUE;nm0000458;William Hurt;1950;nm0001201;Mia Farrow;1945;45;40;-5;(35.0, 40.0];(40.0, 45.0]
620;Stanley & Iris;Stanley & Iris;1990;104;Drama,Romance;6.4;7719.0;TRUE;nm0000134;Robert De Niro;1943;nm0000404;Jane Fonda;1937;53;47;-6;(45.0, 50.0];(50.0, 55.0]
634;White Palace;White Palace;1990;103;Drama,Romance;6.5;8047.0;TRUE;nm0000652;James Spader;1960;nm0000215;Susan Sarandon;1946;44;30;-14;(25.0, 30.0];(40.0, 45.0]
633;Mo' Better Blues;Mo' Better Blues;1990;129;Drama,Music,Romance;6.6;12287.0;TRUE;;Denzel Washington;1954;;Joie Lee;1962;;;;;
645;New York Stories;New York Stories;1989;124;Comedy,Drama,Romance;6.4;18047.0;TRUE;nm0000095;Woody Allen;1935;nm0000275;Rosanna Arquette;1959;30;54;24;(50.0, 55.0];(25.0, 30.0]
651;Monsieur Hire;Monsieur Hire;1989;81;Crime,Drama,Romance;7.6;6423.0;TRUE;nm0003508;Michel Blanc;1952;nm0094789;Sandrine Bonnaire;1967;22;37;15;(35.0, 40.0];(20.0, 25.0]
654;In Country;In Country;1989;120;Drama,Romance,War;5.9;2894.0;TRUE;nm0000246;Bruce Willis;1955;nm0000503;Emily Lloyd;1970;19;34;15;(30.0, 35.0];(16.0, 20.0]
641;When Harry Met Sally...;When Harry Met Sally...;1989;95;Comedy,Drama,Romance;7.6;209510.0;TRUE;nm0000345;Billy Crystal;1948;nm0000212;Meg Ryan;1961;28;41;13;(40.0, 45.0];(25.0, 30.0]
644;Always;Always;1989;122;Drama,Fantasy,Romance;6.4;29451.0;TRUE;nm0000377;Richard Dreyfuss;1947;nm0000456;Holly Hunter;1958;31;42;11;(40.0, 45.0];(30.0, 35.0]
643;The War of the Roses;The War of the Roses;1989;116;Comedy,Romance;6.8;51672.0;TRUE;nm0000140;Michael Douglas;1944;nm0000678;Kathleen Turner;1954;35;45;10;(40.0, 45.0];(30.0, 35.0]
655;Skin Deep;Skin Deep;1989;101;Comedy,Drama,Romance;6.1;4511.0;TRUE;nm0000615;John Ritter;1948;nm0715295;Alyson Reed;1958;31;41;10;(40.0, 45.0];(30.0, 35.0]
648;Teen Witch;Teen Witch;1989;93;Comedy,Fantasy,Romance;6.1;8963.0;TRUE;nm0310248;Dan Gauthier;1963;nm0001477;Robyn Lively;1972;17;26;9;(25.0, 30.0];(16.0, 20.0]
657;The Tall Guy;The Tall Guy;1989;92;Comedy,Romance;6.2;4644.0;TRUE;nm0000156;Jeff Goldblum;1952;nm0000668;Emma Thompson;1959;30;37;7;(35.0, 40.0];(25.0, 30.0]
658;The Unbelievable Truth;The Unbelievable Truth;1989;90;Comedy,Drama,Romance;7.3;5355.0;TRUE;nm0121559;Robert John Burke;1960;nm0791248;Adrienne Shelly;1966;23;29;6;(25.0, 30.0];(20.0, 25.0]
652;Cousins;Cousins;1989;113;Comedy,Romance;6.4;4623.0;TRUE;nm0001101;Ted Danson;1947;nm0000618;Isabella Rossellini;1952;37;42;5;(40.0, 45.0];(35.0, 40.0]
659;The Big Picture;The Big Picture;1989;100;Comedy,Drama,Romance;6.2;5647.0;TRUE;nm0000102;Kevin Bacon;1958;nm0000492;Jennifer Jason Leigh;1962;27;31;4;(30.0, 35.0];(25.0, 30.0]
649;Shirley Valentine;Shirley Valentine;1989;108;Comedy,Drama,Romance;7.2;7883.0;TRUE;nm0002018;Tom Conti;1941;nm0172604;Pauline Collins;1940;49;48;-1;(45.0, 50.0];(45.0, 50.0]
650;Valmont;Valmont;1989;137;Drama,Romance;7.0;13325.0;TRUE;nm0000147;Colin Firth;1960;nm0000906;Annette Bening;1958;31;29;-2;(25.0, 30.0];(30.0, 35.0]
647;Wild Orchid;Wild Orchid;1989;105;Drama,Romance;4.6;11961.0;TRUE;nm0000620;Mickey Rourke;1952;nm0000302;Jacqueline Bisset;1944;45;37;-8;(35.0, 40.0];(40.0, 45.0]
646;Chances Are;Chances Are;1989;108;Comedy,Fantasy,Romance;6.5;12624.0;TRUE;nm0000375;Robert Downey Jr.;1965;nm0001732;Cybill Shepherd;1950;39;24;-15;(20.0, 25.0];(35.0, 40.0]
640;Dream a Little Dream;Dream a Little Dream;1989;114;Comedy,Drama,Romance;5.9;6888.0;TRUE;nm0000397;Jason Robards;1922;nm0001453;Piper Laurie;1932;57;18;-39;(16.0, 20.0];(55.0, 60.0]
656;Gitanjali;Gitanjali;1989;150;Drama,Romance;8.3;2486.0;TRUE;nm0015459;Nagarjuna Akkineni;1959;nm0006430;Girija Shettar;1969;;30;;(25.0, 30.0];
663;Working Girl;Working Girl;1988;113;Comedy,Drama,Romance;6.8;55558.0;TRUE;nm0000148;Harrison Ford;1942;nm0000429;Melanie Griffith;1957;31;46;15;(45.0, 50.0];(30.0, 35.0]
667;Mystic Pizza;Mystic Pizza;1988;104;Comedy,Drama,Romance;6.3;28434.0;TRUE;nm0000352;Vincent D'Onofrio;1959;nm0001272;Annabeth Gish;1971;17;29;12;(25.0, 30.0];(16.0, 20.0]
673;Big Top Pee-wee;Big Top Pee-wee;1988;86;Adventure,Comedy,Romance;5.1;9121.0;TRUE;nm0000607;Paul Reubens;1952;nm0000542;Penelope Ann Miller;1964;24;36;12;(35.0, 40.0];(20.0, 25.0]
678;Arthur 2: On the Rocks;Arthur 2: On the Rocks;1988;113;Comedy,Romance;4.6;6358.0;TRUE;nm0001545;Dudley Moore;1935;nm0591485;Liza Minnelli;1946;42;53;11;(50.0, 55.0];(40.0, 45.0]
665;The Unbearable Lightness of Being;The Unbearable Lightness of Being;1988;171;Drama,Romance;7.3;35449.0;TRUE;nm0000358;Daniel Day-Lewis;1957;nm0000300;Juliette Binoche;1964;24;31;7;(30.0, 35.0];(20.0, 25.0]
660;Coming to America;Coming to America;1988;117;Comedy,Romance;7.1;201815.0;TRUE;nm0000552;Eddie Murphy;1961;nm0004731;Garcelle Beauvais;1966;22;27;5;(25.0, 30.0];(20.0, 25.0]
668;Earth Girls Are Easy;Earth Girls Are Easy;1988;100;Comedy,Musical,Romance;5.4;22838.0;TRUE;nm0000156;Jeff Goldblum;1952;nm0000133;Geena Davis;1956;32;36;4;(35.0, 40.0];(30.0, 35.0]
670;The Accidental Tourist;The Accidental Tourist;1988;121;Drama,Romance;6.8;15744.0;TRUE;nm0000458;William Hurt;1950;nm0000678;Kathleen Turner;1954;34;38;4;(35.0, 40.0];(30.0, 35.0]
671;She's Having a Baby;She's Having a Baby;1988;106;Comedy,Drama,Romance;5.9;12606.0;TRUE;nm0000102;Kevin Bacon;1958;nm0001527;Elizabeth McGovern;1961;27;30;3;(25.0, 30.0];(25.0, 30.0]
666;Tequila Sunrise;Tequila Sunrise;1988;115;Crime,Drama,Romance;6.1;30966.0;TRUE;nm0000154;Mel Gibson;1956;nm0000201;Michelle Pfeiffer;1958;30;32;2;(30.0, 35.0];(25.0, 30.0]
677;Ariel;Ariel;1988;72;Comedy,Crime,Romance;7.5;6713.0;TRUE;nm0656999;Turo Pajala;1955;nm0352099;Susanna Haavisto;1957;31;33;2;(30.0, 35.0];(30.0, 35.0]
679;Qayamat Se Qayamat Tak;Qayamat Se Qayamat Tak;1988;162;Drama,Musical,Romance;7.5;10765.0;TRUE;nm0451148;Aamir Khan;1965;nm0004487;Juhi Chawla;1967;21;23;2;(20.0, 25.0];(20.0, 25.0]
661;Cocktail;Cocktail;1988;104;Comedy,Drama,Romance;5.9;83151.0;TRUE;nm0000129;Tom Cruise;1962;nm0000223;Elisabeth Shue;1963;25;26;1;(25.0, 30.0];(20.0, 25.0]
669;Married to the Mob;Married to the Mob;1988;104;Comedy,Crime,Romance;6.2;17343.0;TRUE;nm0000285;Alec Baldwin;1958;nm0000201;Michelle Pfeiffer;1958;30;30;0;(25.0, 30.0];(25.0, 30.0]
672;Miracle Mile;Miracle Mile;1988;87;Action,Drama,Romance;7.0;10342.0;TRUE;nm0000381;Anthony Edwards;1962;nm0001858;Mare Winningham;1959;29;26;-3;(25.0, 30.0];(25.0, 30.0]
662;Dangerous Liaisons;Dangerous Liaisons;1988;119;Drama,Romance;7.6;68143.0;TRUE;nm0000518;John Malkovich;1953;nm0000335;Glenn Close;1947;41;35;-6;(30.0, 35.0];(40.0, 45.0]
664;Bull Durham;Bull Durham;1988;108;Comedy,Romance,Sport;7.1;52423.0;TRUE;nm0000126;Kevin Costner;1955;nm0000215;Susan Sarandon;1946;42;33;-9;(30.0, 35.0];(40.0, 45.0]
674;Punchline;Punchline;1988;128;Comedy,Drama,Romance;5.9;8498.0;TRUE;nm0000158;Tom Hanks;1956;nm0000398;Sally Field;1946;42;32;-10;(30.0, 35.0];(40.0, 45.0]
685;Roxanne;Roxanne;1987;107;Comedy,Romance;6.6;43753.0;TRUE;nm0000188;Steve Martin;1945;nm0000435;Daryl Hannah;1960;27;42;15;(40.0, 45.0];(25.0, 30.0]
694;Gardens of Stone;Gardens of Stone;1987;111;Drama,Romance,War;6.4;5476.0;TRUE;nm0001001;James Caan;1940;nm0001378;Anjelica Huston;1951;36;47;11;(45.0, 50.0];(35.0, 40.0]
681;Broadcast News;Broadcast News;1987;133;Comedy,Drama,Romance;7.2;29723.0;TRUE;nm0000458;William Hurt;1950;nm0000456;Holly Hunter;1958;29;37;8;(35.0, 40.0];(25.0, 30.0]
688;Dirty Dancing;Dirty Dancing;1987;100;Drama,Music,Romance;7.0;219550.0;TRUE;nm0000664;Patrick Swayze;1952;nm0000426;Jennifer Grey;1960;27;35;8;(30.0, 35.0];(25.0, 30.0]
697;Someone to Watch Over Me;Someone to Watch Over Me;1987;106;Crime,Drama,Romance;6.1;10228.0;TRUE;nm0000297;Tom Berenger;1949;nm0000211;Mimi Rogers;1955;32;38;6;(35.0, 40.0];(30.0, 35.0]
680;Can't Buy Me Love;Can't Buy Me Love;1987;94;Comedy,Drama,Romance;6.8;35857.0;TRUE;nm0001131;Patrick Dempsey;1966;nm0000584;Amanda Peterson;1971;16;21;5;(20.0, 25.0];(12.0, 16.0]
682;Some Kind of Wonderful;Some Kind of Wonderful;1987;95;Drama,Romance;7.1;30354.0;TRUE;nm0000655;Eric Stoltz;1961;nm0000524;Mary Stuart Masterson;1966;21;26;5;(25.0, 30.0];(20.0, 25.0]
696;Nadine;Nadine;1987;83;Comedy,Mystery,Romance;5.6;4017.0;TRUE;nm0000313;Jeff Bridges;1949;nm0000107;Kim Basinger;1953;34;38;4;(35.0, 40.0];(30.0, 35.0]
692;Who's That Girl;Who's That Girl;1987;92;Comedy,Music,Romance;4.8;10021.0;TRUE;nm0001162;Griffin Dunne;1955;nm0000187;Madonna;1958;29;32;3;(30.0, 35.0];(25.0, 30.0]
699;Baby Boom;Baby Boom;1987;110;Comedy,Drama,Romance;6.3;16624.0;TRUE;nm0001731;Sam Shepard;1943;nm0000473;Diane Keaton;1946;41;44;3;(40.0, 45.0];(40.0, 45.0]
690;The Secret of My Success;The Secret of My Success;1987;111;Comedy,Romance;6.5;33068.0;TRUE;nm0000150;Michael J. Fox;1961;nm0000644;Helen Slater;1963;24;26;2;(25.0, 30.0];(20.0, 25.0]
691;Summer School;Summer School;1987;97;Comedy,Romance;6.6;19287.0;TRUE;nm0001319;Mark Harmon;1951;nm0000263;Kirstie Alley;1951;36;36;0;(35.0, 40.0];(35.0, 40.0]
689;Blind Date;Blind Date;1987;95;Comedy,Romance;6.0;22131.0;TRUE;nm0000246;Bruce Willis;1955;nm0000107;Kim Basinger;1953;34;32;-2;(30.0, 35.0];(30.0, 35.0]
683;Mannequin;Mannequin;1987;90;Comedy,Fantasy,Romance;5.9;31180.0;TRUE;nm0000530;Andrew McCarthy;1962;nm0000326;Kim Cattrall;1956;31;25;-6;(20.0, 25.0];(30.0, 35.0]
687;Overboard;Overboard;1987;112;Comedy,Romance;6.9;57211.0;TRUE;nm0000621;Kurt Russell;1951;nm0000443;Goldie Hawn;1945;42;36;-6;(35.0, 40.0];(40.0, 45.0]
695;84 Charing Cross Road;84 Charing Cross Road;1987;100;Biography,Drama,Romance;7.5;9956.0;TRUE;nm0000164;Anthony Hopkins;1937;nm0000843;Anne Bancroft;1931;56;50;-6;(45.0, 50.0];(55.0, 60.0]
698;Hope and Glory;Hope and Glory;1987;113;Comedy,Drama,Romance;7.3;13281.0;TRUE;nm0371342;David Hayman;1948;nm0587234;Sarah Miles;1941;46;39;-7;(35.0, 40.0];(45.0, 50.0]
684;Barfly;Barfly;1987;100;Comedy,Drama,Romance;7.2;19854.0;TRUE;nm0000620;Mickey Rourke;1952;nm0001159;Faye Dunaway;1941;46;35;-11;(30.0, 35.0];(45.0, 50.0]
686;Moonstruck;Moonstruck;1987;102;Comedy,Drama,Romance;7.1;56910.0;TRUE;nm0000115;Nicolas Cage;1964;nm0000333;Cher;1946;41;23;-18;(20.0, 25.0];(40.0, 45.0]
706;Mona Lisa;Mona Lisa;1986;104;Crime,Drama,Romance;7.3;16159.0;TRUE;nm0001364;Bob Hoskins;1942;nm0879154;Cathy Tyson;1965;21;44;23;(40.0, 45.0];(20.0, 25.0]
711;Legal Eagles;Legal Eagles;1986;116;Comedy,Crime,Romance;6.0;10753.0;TRUE;nm0000602;Robert Redford;1936;nm0000700;Debra Winger;1955;31;50;19;(45.0, 50.0];(30.0, 35.0]
701;Back to School;Back to School;1986;96;Comedy,Romance,Sport;6.7;31155.0;TRUE;nm0001098;Rodney Dangerfield;1921;nm0001419;Sally Kellerman;1937;49;65;16;(60.0, 65.0];(45.0, 50.0]
705;Children of a Lesser God;Children of a Lesser God;1986;119;Drama,Romance;7.2;16190.0;TRUE;nm0000458;William Hurt;1950;nm0559144;Marlee Matlin;1965;21;36;15;(35.0, 40.0];(20.0, 25.0]
702;Jumpin' Jack Flash;Jumpin' Jack Flash;1986;105;Comedy,Romance,Thriller;5.9;19123.0;TRUE;nm0004834;Stephen Collins;1947;nm0000155;Whoopi Goldberg;1955;31;39;8;(35.0, 40.0];(30.0, 35.0]
712;No Mercy;No Mercy;1986;106;Crime,Drama,Romance;5.7;7400.0;TRUE;nm0000152;Richard Gere;1949;nm0000107;Kim Basinger;1953;33;37;4;(35.0, 40.0];(30.0, 35.0]
700;Pretty in Pink;Pretty in Pink;1986;97;Comedy,Drama,Romance;6.8;78967.0;TRUE;nm0001083;Jon Cryer;1965;nm0000208;Molly Ringwald;1968;18;21;3;(20.0, 25.0];(16.0, 20.0]
715;The Boy Who Could Fly;The Boy Who Could Fly;1986;114;Drama,Fantasy,Romance;6.6;5932.0;TRUE;nm0001809;Jay Underwood;1968;nm0212635;Lucy Deakins;1971;15;18;3;(16.0, 20.0];(12.0, 16.0]
703;Something Wild;Something Wild;1986;114;Comedy,Crime,Romance;6.9;17595.0;TRUE;nm0001099;Jeff Daniels;1955;nm0000429;Melanie Griffith;1957;29;31;2;(30.0, 35.0];(25.0, 30.0]
710;She's Gotta Have It;She's Gotta Have It;1986;84;Comedy,Romance;6.8;13939.0;TRUE;nm0382975;Tommy Redmond Hicks;1962;nm0424370;Tracy Camilla Johns;1963;23;24;1;(20.0, 25.0];(20.0, 25.0]
704;The Wraith;The Wraith;1986;93;Action,Horror,Romance;6.0;16367.0;TRUE;nm0000221;Charlie Sheen;1965;nm0000145;Sherilyn Fenn;1965;21;21;0;(20.0, 25.0];(20.0, 25.0]
716;Thrashin';Thrashin';1986;93;Action,Drama,Romance;6.6;4213.0;TRUE;nm0000982;Josh Brolin;1968;nm0317293;Pamela Gidley;1965;21;18;-3;(16.0, 20.0];(20.0, 25.0]
707;Lucas;Lucas;1986;100;Comedy,Drama,Romance;6.9;15594.0;TRUE;nm0000433;Corey Haim;1971;nm0338061;Kerri Green;1967;19;15;-4;(12.0, 16.0];(16.0, 20.0]
708;One Crazy Summer;One Crazy Summer;1986;93;Comedy,Romance;6.4;14934.0;TRUE;nm0000131;John Cusack;1966;nm0000193;Demi Moore;1962;24;20;-4;(16.0, 20.0];(20.0, 25.0]
719;Soul Man;Soul Man;1986;104;Comedy,Romance;5.3;8152.0;TRUE;nm0001367;C. Thomas Howell;1966;nm0001044;Rae Dawn Chong;1961;25;20;-5;(16.0, 20.0];(20.0, 25.0]
714;The Morning After;The Morning After;1986;103;Crime,Mystery,Romance;6.0;6591.0;TRUE;nm0000313;Jeff Bridges;1949;nm0000404;Jane Fonda;1937;49;37;-12;(35.0, 40.0];(45.0, 50.0]
713;Nothing in Common;Nothing in Common;1986;118;Comedy,Drama,Romance;5.9;6968.0;TRUE;nm0000158;Jackie Gleason;1916;nm0001693;Eva Marie Saint;1924;62;30;-32;(25.0, 30.0];(60.0, 65.0]
717;Mouna Ragam;Mouna Ragam;1986;146;Drama,Romance;8.5;3749.0;TRUE;nm0440231;Karthik;1960;nm0720763;Revathi;1966;20;;;;(16.0, 20.0]
736;Murphy's Romance;Murphy's Romance;1985;107;Comedy,Drama,Romance;7.0;5986.0;TRUE;nm0001258;James Garner;1928;nm0000398;Sally Field;1946;39;57;18;(55.0, 60.0];(35.0, 40.0]
724;Witness;Witness;1985;112;Drama,Romance,Thriller;7.4;92083.0;TRUE;nm0000148;Harrison Ford;1942;nm0000534;Kelly McGillis;1957;28;43;15;(40.0, 45.0];(25.0, 30.0]
727;Out of Africa;Out of Africa;1985;161;Biography,Drama,Romance;7.2;77413.0;TRUE;nm0000602;Robert Redford;1936;nm0000658;Meryl Streep;1949;36;49;13;(45.0, 50.0];(35.0, 40.0]
722;A Room with a View;A Room with a View;1985;117;Drama,Romance;7.3;42465.0;TRUE;nm0001186;Denholm Elliott;1922;nm0001749;Maggie Smith;1934;51;63;12;(60.0, 65.0];(50.0, 55.0]
726;Legend;Legend;1985;94;Adventure,Fantasy,Romance;6.4;63685.0;TRUE;nm0000129;Tom Cruise;1962;nm0000214;Mia Sara;1967;18;23;5;(20.0, 25.0];(16.0, 20.0]
738;Perfect;Perfect;1985;115;Drama,Romance;4.6;5164.0;TRUE;nm0000237;John Travolta;1954;nm0000130;Jamie Lee Curtis;1958;27;31;4;(30.0, 35.0];(25.0, 30.0]
729;Real Genius;Real Genius;1985;108;Comedy,Romance,Sci-Fi;7.0;32828.0;TRUE;nm0000174;Val Kilmer;1959;nm0001534;Michelle Meyrink;1962;23;26;3;(25.0, 30.0];(20.0, 25.0]
739;Just One of the Guys;Just One of the Guys;1985;100;Comedy,Romance;6.5;15320.0;TRUE;nm0737553;Clayton Rohner;1957;nm0405310;Joyce Hyser;1957;28;28;0;(25.0, 30.0];(25.0, 30.0]
733;Vision Quest;Vision Quest;1985;107;Drama,Romance,Sport;6.6;8582.0;TRUE;nm0000546;Matthew Modine;1959;nm0000400;Linda Fiorentino;1958;27;26;-1;(25.0, 30.0];(25.0, 30.0]
721;St. Elmo's Fire;St. Elmo's Fire;1985;110;Drama,Romance;6.4;40524.0;TRUE;nm0000507;Rob Lowe;1964;nm0000193;Demi Moore;1962;23;21;-2;(20.0, 25.0];(20.0, 25.0]
734;Secret Admirer;Secret Admirer;1985;90;Comedy,Romance;6.6;7027.0;TRUE;nm0001367;C. Thomas Howell;1966;nm0521753;Lori Loughlin;1964;21;19;-2;(16.0, 20.0];(20.0, 25.0]
730;The Sure Thing;The Sure Thing;1985;100;Comedy,Drama,Romance;7.0;20376.0;TRUE;nm0000131;John Cusack;1966;nm0001879;Daphne Zuniga;1962;23;19;-4;(16.0, 20.0];(20.0, 25.0]
735;Mischief;Mischief;1985;100;Comedy,Romance;6.6;6211.0;TRUE;nm0571630;Doug McKeon;1966;nm0829252;Catherine Mary Stewart;1959;26;19;-7;(16.0, 20.0];(25.0, 30.0]
728;Weird Science;Weird Science;1985;94;Comedy,Romance,Sci-Fi;6.6;85555.0;TRUE;nm0001309;Anthony Michael Hall;1968;nm0001456;Kelly LeBrock;1960;25;17;-8;(16.0, 20.0];(20.0, 25.0]
720;The Purple Rose of Cairo;The Purple Rose of Cairo;1985;82;Comedy,Fantasy,Romance;7.7;50578.0;TRUE;nm0001099;Jeff Daniels;1955;nm0001201;Mia Farrow;1945;40;30;-10;(25.0, 30.0];(35.0, 40.0]
723;Better Off Dead...;Better Off Dead...;1985;97;Comedy,Romance;7.2;43637.0;TRUE;nm0000131;John Cusack;1966;nm0200981;Diane Franklin;1962;38;19;-19;(16.0, 20.0];(35.0, 40.0]
725;Teen Wolf;Teen Wolf;1985;91;Comedy,Fantasy,Romance;6.1;50881.0;TRUE;nm0000150;Michael J. Fox;1961;nm0882151;Susan Ursitti;1957;;24;;(20.0, 25.0];
750;Blame It on Rio;Blame It on Rio;1984;100;Comedy,Romance;5.8;10579.0;TRUE;nm0000323;Michael Caine;1933;nm0001400;Michelle Johnson;1965;19;51;32;(50.0, 55.0];(16.0, 20.0]
752;Bolero;Bolero;1984;105;Comedy,Drama,Romance;3.0;5456.0;TRUE;nm0001421;George Kennedy;1925;nm0000137;Bo Derek;1956;28;59;31;(55.0, 60.0];(25.0, 30.0]
743;The Woman in Red;The Woman in Red;1984;87;Comedy,Romance;6.0;15166.0;TRUE;nm0000698;Gene Wilder;1933;nm0001456;Kelly LeBrock;1960;24;51;27;(50.0, 55.0];(20.0, 25.0]
759;Crimes of Passion;Crimes of Passion;1984;107;Drama,Romance,Thriller;6.4;7076.0;TRUE;nm0000578;Anthony Perkins;1932;nm0000678;Kathleen Turner;1954;30;52;22;(50.0, 55.0];(25.0, 30.0]
754;The Razor's Edge;The Razor's Edge;1984;128;Drama,Romance,War;6.6;5352.0;TRUE;nm0000195;Bill Murray;1950;nm0000622;Theresa Russell;1957;27;34;7;(30.0, 35.0];(25.0, 30.0]
741;Falling in Love;Falling in Love;1984;106;Drama,Romance;6.5;13787.0;TRUE;nm0000134;Robert De Niro;1943;nm0000658;Meryl Streep;1949;35;41;6;(40.0, 45.0];(30.0, 35.0]
749;Moscow on the Hudson;Moscow on the Hudson;1984;115;Comedy,Drama,Romance;6.5;11674.0;TRUE;nm0000245;Robin Williams;1951;nm0000744;Maria Conchita Alonso;1957;27;33;6;(30.0, 35.0];(25.0, 30.0]
751;The Lonely Guy;The Lonely Guy;1984;90;Comedy,Romance;6.2;7163.0;TRUE;nm0000188;Steve Martin;1945;nm0412382;Judith Ivey;1951;33;39;6;(35.0, 40.0];(30.0, 35.0]
747;Splash;Splash;1984;111;Comedy,Fantasy,Romance;6.3;74960.0;TRUE;nm0000158;Tom Hanks;1956;nm0000435;Daryl Hannah;1960;24;28;4;(25.0, 30.0];(20.0, 25.0]
