;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
95;The Little Hours;The Little Hours;2017;90;Comedy,Romance;5.8;22005.0;TRUE;nm2002649;Dave Franco;1985;nm1555340;Alison Brie;1982;35;32;-3;(30.0, 35.0];(30.0, 35.0]
82;The Big Sick;The Big Sick;2017;120;Comedy,Drama,Romance;7.5;130307.0;TRUE;nm3529685;Kumail Nanjiani;1978;nm1443740;Zoe Kazan;1983;34;;;;(30.0, 35.0]
94;Bareilly Ki Barfi;Bareilly Ki Barfi;2017;116;Comedy,Romance;7.5;22230.0;TRUE;nm4731677;Ayushmann Khurrana;1984;nm5305841;Kriti Sanon;1990;;33;;(30.0, 35.0];
112;Dear Zindagi;Dear Zindagi;2016;151;Drama,Romance;7.5;38539.0;TRUE;nm0451321;Shah Rukh Khan;1965;nm1017633;Alia Bhatt;1993;23;51;28;(50.0, 55.0];(20.0, 25.0]
101;Bridget Jones's Baby;Bridget Jones's Baby;2016;123;Comedy,Drama,Romance;6.5;73688.0;TRUE;nm0000980;Jim Broadbent;1949;nm0000250;Renée Zellweger;1969;47;67;20;(65.0, 81.0];(45.0, 50.0]
107;Allied;Allied;2016;124;Action,Drama,Romance;7.1;151367.0;TRUE;nm0000093;Brad Pitt;1963;nm0182839;Marion Cotillard;1975;41;53;12;(50.0, 55.0];(40.0, 45.0]
104;Passengers;Passengers;2016;116;Drama,Romance,Sci-Fi;7.0;381227.0;TRUE;nm0695435;Chris Pratt;1979;nm2225369;Jennifer Lawrence;1990;26;37;11;(35.0, 40.0];(25.0, 30.0]
109;The Light Between Oceans;The Light Between Oceans;2016;133;Drama,Romance;7.2;55307.0;TRUE;nm1055413;Michael Fassbender;1977;nm2539953;Alicia Vikander;1988;28;39;11;(35.0, 40.0];(25.0, 30.0]
110;A Hologram for the King;A Hologram for the King;2016;98;Comedy,Drama,Romance;6.1;43551.0;TRUE;nm0000158;Tom Hanks;1956;nm0002004;Sarita Choudhury;1966;50;60;10;(55.0, 60.0];(45.0, 50.0]
111;American Honey;American Honey;2016;163;Adventure,Drama,Romance;7.0;41435.0;TRUE;nm0479471;Shia LaBeouf;1986;nm7603745;Sasha Lane;1995;21;30;9;(25.0, 30.0];(20.0, 25.0]
114;Loving;Loving;2016;123;Biography,Drama,Romance;7.0;33718.0;TRUE;nm0249291;Joel Edgerton;1974;nm1550948;Ruth Negga;1982;34;42;8;(40.0, 45.0];(30.0, 35.0]
